freq Hz,Band width,energy m*m/Hz,Dmean deg,a1,b1,a2,b2,Check factor
0.0250,0.0050,0.0003,239,-0.2528,-0.4177,-0.0598,0.1142,2.06
0.0300,0.0050,0.0011,247,-0.0566,-0.1350,0.3001,-0.1159,2.55
0.0350,0.0050,0.0037,154,-0.2062,0.0986,0.1101,-0.3327,2.55
0.0400,0.0050,0.0113,205,-0.5307,-0.2482,0.3619,0.4637,2.55
0.0450,0.0050,0.0482,208,-0.5795,-0.3065,0.0018,0.4572,1.55
0.0500,0.0050,0.1209,206,-0.7115,-0.3543,0.4925,0.5483,1.30
0.0550,0.0050,0.4220,205,-0.7953,-0.3719,0.4823,0.5438,1.19
0.0600,0.0050,0.0670,202,-0.7154,-0.2927,0.4969,0.4418,1.24
0.0650,0.0050,0.0819,226,-0.5400,-0.5622,0.0799,0.8301,1.14
0.0700,0.0050,0.0603,214,-0.6700,-0.4435,0.1759,0.4494,1.16
0.0750,0.0050,0.1122,205,-0.7014,-0.3280,0.3908,0.3429,1.18
0.0800,0.0050,0.1433,230,-0.4845,-0.5851,-0.0932,0.3441,1.20
0.0850,0.0050,0.3455,230,-0.5163,-0.6236,-0.2108,0.4610,0.96
0.0900,0.0050,0.3064,242,-0.4135,-0.7655,-0.3990,0.4554,1.32
0.0950,0.0050,0.6819,251,-0.2823,-0.8423,-0.6632,0.3663,1.09
0.1013,0.0075,0.4241,257,-0.2053,-0.8958,-0.7848,0.3601,1.11
0.1100,0.0100,0.3126,263,-0.1123,-0.8793,-0.8282,0.1445,1.06
0.1200,0.0100,0.2871,260,-0.1616,-0.9079,-0.8488,0.2892,1.11
0.1300,0.0100,0.2214,266,-0.0723,-0.9254,-0.8952,0.1408,1.11
0.1400,0.0100,0.1831,264,-0.0933,-0.9071,-0.8727,0.1297,1.10
0.1500,0.0100,0.1221,263,-0.1107,-0.8660,-0.7934,0.1072,1.01
0.1600,0.0100,0.0574,264,-0.0824,-0.8005,-0.7320,0.1064,1.10
0.1700,0.0100,0.0489,263,-0.0985,-0.7707,-0.6093,0.0937,1.20
0.1800,0.0100,0.0677,267,-0.0447,-0.8351,-0.6959,0.0138,0.97
0.1900,0.0100,0.0501,260,-0.1334,-0.7492,-0.5062,0.1174,1.00
0.2000,0.0100,0.0492,257,-0.1808,-0.7891,-0.5136,0.2614,1.09
0.2100,0.0100,0.0482,259,-0.1570,-0.7714,-0.5896,0.1505,0.98
0.2200,0.0100,0.0303,250,-0.2395,-0.6603,-0.2241,0.1948,1.02
0.2300,0.0100,0.0325,249,-0.2700,-0.6909,-0.3022,0.2283,0.96
0.2400,0.0100,0.0214,251,-0.2330,-0.6952,-0.3297,0.3347,1.00
0.2500,0.0100,0.0212,244,-0.2736,-0.5721,-0.1955,0.2488,0.91
0.2600,0.0100,0.0170,233,-0.3478,-0.4647,-0.1344,0.1111,1.14
0.2700,0.0100,0.0116,230,-0.3848,-0.4648,0.0465,0.0168,1.10
0.2800,0.0100,0.0105,215,-0.4920,-0.3433,0.1414,0.0167,1.24
0.2900,0.0100,0.0102,202,-0.6215,-0.2543,0.3823,0.1265,1.19
0.3000,0.0100,0.0236,202,-0.7656,-0.3132,0.5149,0.4430,0.90
0.3100,0.0100,0.0278,205,-0.7596,-0.3552,0.3819,0.4572,0.93
0.3200,0.0100,0.0297,202,-0.7822,-0.3200,0.4049,0.4992,1.04
0.3300,0.0100,0.0298,194,-0.8290,-0.2038,0.5166,0.3144,0.94
0.3400,0.0100,0.0275,187,-0.8039,-0.0956,0.4252,0.0945,1.01
0.3500,0.0100,0.0192,178,-0.8393,0.0243,0.5864,-0.0770,0.91
0.3600,0.0100,0.0160,178,-0.8382,0.0242,0.6640,-0.0208,0.89
0.3700,0.0100,0.0205,191,-0.8274,-0.1608,0.5457,0.2395,0.94
0.3800,0.0100,0.0185,191,-0.8131,-0.1581,0.5280,0.3250,0.89
0.3900,0.0100,0.0115,185,-0.7509,-0.0706,0.3275,0.1914,0.91
0.4000,0.0100,0.0113,195,-0.7869,-0.2141,0.4411,0.3634,0.95
0.4100,0.0100,0.0111,180,-0.8214,0.0036,0.6102,0.0884,0.91
0.4200,0.0100,0.0104,184,-0.7272,-0.0505,0.4602,0.1647,0.78
0.4300,0.0100,0.0110,185,-0.7963,-0.0749,0.4617,0.0916,0.87
0.4400,0.0100,0.0105,178,-0.7907,0.0229,0.6264,0.0068,0.81
0.4500,0.0100,0.0073,177,-0.7178,0.0384,0.3645,0.0100,0.86
0.4600,0.0100,0.0050,176,-0.6882,0.0538,0.3251,0.0181,0.94
0.4700,0.0100,0.0033,195,-0.6449,-0.1754,0.2488,0.1779,1.03
0.4800,0.0100,0.0036,173,-0.6816,0.0871,0.4017,-0.0539,0.95
0.4900,0.0100,0.0033,173,-0.6173,0.0789,0.2610,0.0957,0.90
0.5000,0.0100,0.0036,173,-0.7101,0.0907,0.3108,-0.0464,1.01
0.5100,0.0100,0.0040,174,-0.7237,0.0745,0.4114,0.0501,0.91
0.5200,0.0100,0.0048,167,-0.6390,0.1464,0.2181,-0.0426,0.81
0.5300,0.0100,0.0058,174,-0.7502,0.0772,0.4544,0.0072,0.74
